location,latitude,longitude,area,bhk,bathrooms,parking,property_age,furnishing,property_type,price,city,source_id
Sector 108 Gurgaon,28.5128994,76.9823615,1650.0,3,3.0,,5,Unknown,Apartment,27125000.0,Gurgaon,U71018868
Sector 106 Gurgaon,28.5060806,76.9967796,1900.0,3,3.0,,5,Unknown,Apartment,13837500.0,Gurgaon,S71018328
Sector 106 Gurgaon,28.5060806,76.9967796,2050.0,3,3.0,,5,Unknown,Apartment,27675000.0,Gurgaon,J71018118
Sector 102 Gurgaon,28.4754872,76.9711747,1650.0,3,4.0,,1,Unknown,Apartment,19000000.0,Gurgaon,B71010868
Sector 60 Gurgaon,28.3985617,77.0978276,1650.0,2,3.0,,1,Semifurnished,Apartment,22000000.0,Gurgaon,F71008550
Sector 60 Gurgaon,28.3985617,77.0978276,1650.0,3,4.0,,1,Semifurnished,Apartment,31000000.0,Gurgaon,L71008020
Sector 61 Gurgaon,28.4110188,77.0963685,1650.0,3,3.0,,2,Semifurnished,Apartment,22000000.0,Gurgaon,N71006284
Sector 53 Gurgaon,28.4487856,77.0988212,1650.0,3,4.0,,3,Semifurnished,Apartment,48000000.0,Gurgaon,X70939306
Dlf Phase 2,28.483901,77.0846097,2110.0,4,4.0,,2,Semifurnished,Apartment,33000000.0,Gurgaon,E70933318
Sector 113 Gurgaon,28.5286649,77.0250282,1650.0,2,2.0,,6,Semifurnished,Apartment,19000000.0,Gurgaon,G70829716
Sector 54 Gurgaon,28.433569,77.1055815,2300.0,3,4.0,,1,Unfurnished,Apartment,55000000.0,Gurgaon,E69361376
South City 2,28.4188806,77.0439211,2500.0,4,4.0,,6,Semifurnished,Independent/Builder Floor,34000000.0,Gurgaon,A70706254
Dlf Phase 5,28.503445,77.0952048,2580.0,4,4.0,,2,Semifurnished,Apartment,52500000.0,Gurgaon,Y70464256
Dlf Phase 5,28.503445,77.0952048,2360.0,4,4.0,,2,Semifurnished,Apartment,50000000.0,Gurgaon,R70322724
Sector 28 Gurgaon,28.4794143,77.0833588,4500.0,6,7.0,,1,Semifurnished,Apartment,60000000.0,Gurgaon,L69590774
Sector 57 Gurgaon,28.4232478,77.0804487,1590.0,3,3.0,,6,Semifurnished,Independent/Builder Floor,19000000.0,Gurgaon,O69530788
Sector 112 Gurgaon,28.5203402,77.0188612,1650.0,2,2.0,,1,Semifurnished,Apartment,30000000.0,Gurgaon,N68670284
Dlf Phase 5,28.503445,77.0952048,1650.0,3,3.0,,2,Unknown,Apartment,24500000.0,Gurgaon,N7758179
Dlf Phase 5,28.503445,77.0952048,1650.0,4,4.0,,3,Semifurnished,Apartment,51000000.0,Gurgaon,Y69969376
Sector 54 Gurgaon,28.433569,77.1055815,1650.0,4,6.0,,2,Semifurnished,Apartment,96000000.0,Gurgaon,L71681876
Sector 90 Gurgaon,28.4069974,76.9365562,1650.0,3,3.0,,1,Semifurnished,Apartment,15500000.0,Gurgaon,F71565842
Sector 103 Gurgaon,28.493087,76.9866453,1056.0,3,4.0,,6,Semifurnished,Apartment,12700000.0,Gurgaon,R68584914
Sector 103 Gurgaon,28.493087,76.9866453,1495.0,3,4.0,,1,Semifurnished,Apartment,11000000.0,Gurgaon,Z67111308
Sector 104 Gurgaon,28.4795324,76.9937197,861.97,3,2.0,,5,Semifurnished,Apartment,14500000.0,Gurgaon,J71356108
Sector 63 Gurgaon,28.3964476,77.086498,2500.0,5,5.0,,1,Semifurnished,Independent/Builder Floor,54500000.0,Gurgaon,I67853004
Sector 107 Gurgaon,28.506941,76.9752137,1056.0,2,2.0,,1,Semifurnished,Apartment,9500000.0,Gurgaon,K71330074
